Date,Quarter,Sweden,Spain,Portugal,Norway,Italy,Ireland,Iceland,Greece,Germany,United Kingdom,France,Netherlands,Australia,United States of America,Finland,Australia_Full,United Kingdom_Full
2003,Q1,62.27,,,67.16,88.16,,92.12,,104.28,88.9,,86.62,,129.322333,,79,88.9
2003,Q2,63.6,,,68.75,88.7,,93.83,,103.72,,,87.51,,131.757333,,80,91.07
2003,Q3,65.22,,,68.88,89.88,,98.48,,103.15,,,88.32,81.15,135.012667,,81.15,93.41
2003,Q4,65.53,,,69.44,90.03,,97.98,,103.67,,,89.3,83.79,138.837333,,83.79,94.8
2004,Q1,67.02,,,74.4,90.44,,97.85,,102.83,95.74,,90.28,82.71,143.303667,,82.71,95.74
2004,Q2,69.49,,,75.16,91.58,,101.95,,102.92,,,91.27,81.49,148.21,,81.49,100.6
2004,Q3,71.22,,,75.34,93.57,,103.76,,102.29,105.01,,92.61,81.19,152.716333,,81.19,105.01
2004,Q4,71.77,,,75.83,94.81,,107.13,,102.83,104.98,,92.88,81.96,157.536667,,81.96,104.98
2005,Q1,72.42,,,79,96.13,129.43,116.34,,106.2,102.64,88,93.77,81.25,163.487333,79.98,81.25,102.64
2005,Q2,74.5,,,80.33,97.23,130.53,127.36,,104.26,,90.19,94.85,,169.346667,82.28,81.32,104.58
2005,Q3,77.39,,,80.9,98.54,134.46,133.17,,104.95,,92,96.11,80.43,174.581,83.92,80.43,106.6
2005,Q4,78.99,101.54,,80.41,99.08,139.49,135.36,,103.83,,93.58,96.58,,179.542333,85.56,81.6,106.24
2006,Q1,82.02,105.26,,85.22,99.66,141.35,138.96,112.01,102.6,,93.96,97.65,81.8,183.327,86.14,81.8,107.04
2006,Q2,83.36,107.4,,88.31,100.81,144.29,139.39,113.02,103.65,109.63,94.74,98.94,83.39,184.000333,87.78,83.39,109.63
2006,Q3,85.5,111.24,,91.14,102.09,151.15,137.27,115.57,104.17,112.31,95.71,100.07,84.12,182.829,88.85,84.12,112.31
2006,Q4,85.57,113.41,,91.52,102.77,153.21,136.22,118.68,103.03,113.58,96.71,100.94,,183.653,90.24,85.73,113.58
2007,Q1,88.79,116.26,,98.27,103.7,154.24,138.17,118.55,101.64,,97.57,102.29,86.48,184.424667,91.55,86.48,115.05
2007,Q2,93.21,117.05,,101.43,104.23,151.97,143.4,117.65,100.72,118.33,98,103.19,89.21,181.629667,93.03,89.21,118.33
2007,Q3,96.37,118.69,,101.4,105.05,150.31,148.88,119.53,100.82,,98.73,105.2,,178.271667,93.94,91.77,121.73
2007,Q4,92.02,115.31,,97.13,104.86,148.18,149.07,117.29,100.16,,97.98,106.18,,175.379667,93.94,94.39,120.33
2008,Q1,92.11,114.55,101.74,98.38,104.39,143.73,146.98,117,101.59,,97.1,106.25,93.55,171.581,94.59,93.55,116.59
2008,Q2,92.39,111.59,102.08,99.35,104.24,137.33,136.92,114.26,101.75,,96.75,106.41,91.41,166.679,95.58,91.41,113.58
2008,Q3,91.09,109.84,99.26,94.81,103.68,132.75,131.99,115.92,100.63,,94.75,107.77,88.31,161.969333,94.26,88.31,107.77
2008,Q4,86.45,106.67,97.56,87.31,102.54,127.04,123.89,114.66,101.92,,90.68,105.57,87.39,156.034667,90.24,87.39,100.52
2009,Q1,89.99,105.56,98.43,91.02,103.11,121.85,111.61,111.42,101.68,,90.32,104.47,87.1,150.068667,89.42,87.1,95.72
2009,Q2,92.44,103.82,99.34,94.86,102.47,114.97,109.49,110.7,100.16,95.96,93.06,101.46,90.33,147.921333,92.13,90.33,95.96
2009,Q3,95.12,103.32,99.39,96.6,102.38,111.32,105.43,109.25,99.96,,95.9,100.57,93.23,148.244,94.68,93.23,99.02
2009,Q4,97.07,101.85,99.79,96.07,101.61,109.28,104.58,107.97,100.29,100.25,98.08,100.49,97.86,147.977333,96.59,97.86,100.25
2010,Q1,98.67,101.31,100.36,97.86,99.65,106.2,99.22,106.23,99.15,99.83,99.64,100.19,99.97,146.295,98.83,99.97,99.83
2010,Q2,99.37,101.22,100.75,100.94,99.97,101.81,100.45,100.33,99.86,,99.73,100.07,101.28,146.162,99.68,101.28,100.35
2010,Q3,100.87,99.61,99.97,101.15,100.28,98.27,99.98,98.14,100.46,,100.94,100.16,99.3,143.959333,100.75,99.3,101.51
2010,Q4,101.06,97.92,98.93,100.04,100.1,93.82,100.33,95.57,100.52,,99.7,99.58,99.46,142.251333,100.75,99.46,98.32
2011,Q1,100.83,94.41,98.22,104.68,98.63,88.82,100.62,95.98,100.19,,99.65,99.7,,140.623333,102.02,97.19,95.15
2011,Q2,100.3,91.7,96.11,106.84,99.68,83.17,100.74,91.97,99.96,,100.62,98.34,95.66,139.915333,103.94,95.66,94.41
2011,Q3,99.93,88.85,94.53,107.95,98.77,78.04,101.31,91.32,100.74,,99.99,97.87,93.4,139.224,103.62,93.4,94.94
2011,Q4,97.19,83.15,91.52,107.09,97.38,73.36,103.01,86.82,100.48,,98.79,96.15,92.66,137.247333,103.09,92.66,92.77
2012,Q1,98.77,79.47,90.2,110.37,96.09,69.92,101.48,84.15,100.6,,99.3,94.32,,137.020333,104.79,93.12,91.53
2012,Q2,99.34,75.58,88.15,113.72,94.43,67.66,102.55,80.77,101.5,92.47,99.5,92.76,93.03,140.122667,105.86,93.03,92.47
2012,Q3,100.47,72.54,87.28,115.18,92.23,68.39,103.52,78.77,101.33,,99.38,89.15,,142.287667,105.86,91.57,93.25
2012,Q4,100.78,70.37,87.85,113.07,90.35,69.1,103.28,74.88,101.74,,99.28,89.52,93.39,144.568333,106.07,93.39,91.28
2013,Q1,102.99,67.51,86.11,115.86,87.55,67.02,101.72,74.47,102.21,90.29,99.54,87.09,93.67,148.204,106.82,93.67,90.29
2013,Q2,104.38,66.42,85.93,117.95,87.1,66.72,104.09,71.44,103.03,,99.3,85.3,95.65,152.869,107.24,95.65,91.48
2013,Q3,106.28,67.07,86.39,115.33,85.46,70.57,105.51,71.49,103.29,93.4,99.15,85.84,,156.939333,107.03,96.88,93.4
2013,Q4,107.78,65.86,88.39,111.66,84.6,72.81,108.11,69.18,102.75,,98.22,85.57,,160.109,106.39,99.95,93.34
2014,Q1,111.66,66.42,89.57,113.84,83.33,73.98,108.92,68.6,103.35,94.45,98.05,86,100.8,162.58,106.6,100.8,94.45
2014,Q2,113.46,66.83,91,117.38,82.39,77.52,110.28,66.56,104.56,,98.2,86.38,,163.729667,107.03,102.25,97.19
2014,Q3,117.47,67.48,90.64,116.82,81.5,83.86,112.25,66.98,105.69,,97.58,86.94,103,165.216667,106.5,103,100.26
2014,Q4,119.24,67.36,90.33,115.78,80.41,87.04,113.27,66.57,106.74,100.39,96.93,87.3,104.9,167.360667,105.86,104.9,100.39
2015,Q1,124.55,68.14,90.3,119.69,78.8,87.42,117.88,67.38,108.67,,97.87,88.21,106.36,169.307667,106.28,106.36,100.8
2015,Q2,128.49,69.69,93.68,122.43,78.49,88.57,117.13,64.63,108.74,,98.03,88.99,,170.922333,106.71,110.6,102.33
2015,Q3,133.59,70.8,93.75,121.5,79.15,91.24,118.06,64.26,110.13,105.62,98.01,90.79,,172.931667,106.6,112.33,105.62
2015,Q4,136.03,70.45,94.86,118.08,78.63,93.2,121.17,63.55,110.98,,97.66,91.07,,175.753333,106.39,112.08,106.78
2016,Q1,139.18,72.9,96.57,121.33,78.94,94.07,123.41,65.05,113.37,108.38,97.9,92.29,112.12,177.901,106.28,112.12,108.38
2016,Q2,138.56,73.07,99.58,124.85,79.35,94,124.53,63.6,115.36,,98.5,92.98,113.93,179.499,107.56,113.93,110.16
2016,Q3,141.63,73.78,100.89,126.08,79.16,97.95,131.52,63.76,116.59,111.94,98.07,95.3,,181.796667,107.14,114.8,111.94
2016,Q4,142.85,72.85,102.06,125.52,78.66,101.26,136.33,63.18,116.96,,97.45,96.52,118.91,184.854,106.92,118.91,111.14
2017,Q1,146.28,74.73,104.22,130.24,77.36,102.36,142.81,62.94,117.45,,98.91,98.45,,187.736,108.41,120.98,110.79
2017,Q2,147.81,75.64,107.59,130.73,77.47,103.7,150.75,62.13,119.24,111.96,99.4,99.99,123.12,189.811,109.37,123.12,111.96
2017,Q3,149.06,77.41,111.4,127.29,77.11,109.27,155.77,62.67,121.45,,98.86,102.35,122.09,192.580667,108.73,122.09,113.9
2017,Q4,144.52,76.97,112.76,124.77,77.03,112.54,153.97,62.37,122.59,112.86,98.03,104.71,,196.140333,108.2,122.49,112.86
2018,Q1,143.25,78.65,116.97,126.32,76.42,114.63,157.75,63.06,124.32,112.45,98.09,107.59,,199.728,108.31,121.12,112.45
2018,Q2,142.54,79.35,119.68,129.79,76.61,116.56,157.55,62.27,125.77,112.91,99.1,109.58,119.87,201.869,110.12,119.87,112.91
