2022-04-20,594,25
2022-04-21,578,17
2022-04-22,528,18
2022-04-23,513,15
2022-04-24,474,14
2022-04-25,478,12
2022-04-26,484,13
2022-04-27,527,12
2022-04-28,542,15
2022-04-29,492,11
2022-04-30,468,9
2022-05-01,446,14
2022-05-02,453,11
2022-05-03,466,15
2022-05-04,504,21
2022-05-05,467,14
2022-05-06,463,15
2022-05-07,454,12
2022-05-08,426,12
2022-05-09,439,12
2022-05-10,456,14
2022-05-11,459,14
2022-05-12,437,16
2022-05-13,407,11
2022-05-14,414,12
2022-05-15,417,17
2022-05-16,435,17
2022-05-17,492,14
2022-05-18,511,16
2022-05-19,493,12
2022-05-20,478,11
2022-05-21,420,12
2022-05-22,432,17
2022-05-23,401,17
2022-05-24,451,17
2022-05-25,426,15
2022-05-26,445,12
2022-05-27,422,9
2022-05-28,379,7
2022-05-29,374,7
2022-05-30,365,4
2022-05-31,359,4
2022-06-01,326,5
2022-06-02,316,7
2022-06-03,305,3
2022-06-04,286,6
2022-06-05,282,5
2022-06-06,299,6
2022-06-07,316,4
2022-06-08,312,12
2022-06-09,297,11
2022-06-10,301,9
2022-06-11,329,10
2022-06-12,329,7
2022-06-13,358,5
2022-06-14,373,8
2022-06-15,391,5
2022-06-16,386,4
2022-06-17,402,7
2022-06-18,428,8
2022-06-19,444,7
2022-06-20,480,7
2022-06-21,491,7
2022-06-22,497,7
2022-06-23,512,6
2022-06-24,522,7
2022-06-25,556,11
2022-06-26,556,8
2022-06-27,542,8
2022-06-28,593,14
2022-06-29,597,11
2022-06-30,631,14
2022-07-01,597,15
2022-07-02,602,19
2022-07-03,630,18
2022-07-04,598,16
2022-07-05,710,14
2022-07-06,705,18
2022-07-07,697,15
2022-07-08,714,17
2022-07-09,719,15
2022-07-10,744,15
2022-07-11,782,10
2022-07-12,860,12
2022-07-13,859,14
2022-07-14,863,16
2022-07-15,907,14
2022-07-16,921,14
2022-07-17,876,20
2022-07-18,914,18
2022-07-19,983,24
2022-07-20,1034,21
2022-07-21,1034,21
2022-07-22,1050,26
2022-07-23,1061,30
2022-07-24,1042,23
2022-07-25,1024,28
2022-07-26,1123,31
2022-07-27,1023,26
2022-07-28,955,32
2022-07-29,906,30
2022-07-30,861,30
2022-07-31,762,28
2022-08-01,782,24
2022-08-02,815,28
2022-08-03,788,22
2022-08-04,745,25
2022-08-05,736,23
2022-08-06,703,26
2022-08-07,669,29
2022-08-08,667,26
2022-08-09,710,24
2022-08-10,656,21
2022-08-11,596,18
2022-08-12,543,18
2022-08-13,507,19
2022-08-14,468,27
2022-08-15,459,25
2022-08-16,487,23
2022-08-17,439,19
2022-08-18,448,21
2022-08-19,419,16
2022-08-20,394,17
2022-08-21,377,13
2022-08-22,383,11
2022-08-23,411,10
2022-08-24,376,12
2022-08-25,343,16
2022-08-26,321,16
2022-08-27,305,14
2022-08-28,288,10
2022-08-29,283,10
2022-08-30,319,10
2022-08-31,316,10
2022-09-01,308,11
2022-09-02,285,12
2022-09-03,285,12
2022-09-04,285,12
2022-09-05,279,8
2022-09-06,257,8
2022-09-07,240,8
2022-09-08,225,3
2022-09-09,222,6
2022-09-10,222,6
2022-09-11,222,6
2022-09-12,222,6
2022-09-13,222,6
2022-09-14,222,6
2022-09-15,222,6
2022-09-16,183,9
2022-09-17,183,9
2022-09-18,183,9
2022-09-19,183,9
2022-09-20,183,9
2022-09-21,183,9
2022-09-22,183,9
2022-09-23,152,7
2022-09-24,152,7
2022-09-25,152,7
2022-09-26,152,7
2022-09-27,152,7
2022-09-28,152,7
2022-09-29,152,7
2022-09-30,116,7
2022-10-01,116,7
2022-10-02,116,7
2022-10-03,116,7
2022-10-04,116,7
2022-10-05,116,7
2022-10-06,116,7
2022-10-07,96,2
2022-10-08,96,2
2022-10-09,96,2
2022-10-10,96,2
2022-10-11,96,2
2022-10-12,96,2
2022-10-13,96,2
2022-10-14,103,1
2022-10-15,103,1
2022-10-16,103,1
2022-10-17,103,1
2022-10-18,103,1
2022-10-19,103,1
2022-10-20,103,1
2022-10-21,109,2
2022-10-22,109,2
2022-10-23,109,2
2022-10-24,109,2
2022-10-25,109,2
2022-10-26,109,2
2022-10-27,109,2
2022-10-28,105,2
2022-10-29,105,2
2022-10-30,105,2
2022-10-31,105,2
2022-11-01,105,2
2022-11-02,105,2
2022-11-03,105,2
2022-11-04,105,3
2022-11-05,105,3
2022-11-06,105,3
2022-11-07,105,3
2022-11-08,105,3
2022-11-09,105,3
2022-11-10,105,3
2022-11-11,202,9
2022-11-12,202,9
2022-11-13,202,9
2022-11-14,202,9
2022-11-15,202,9
2022-11-16,202,9
2022-11-17,202,9
2022-11-18,245,5
2022-11-19,245,5
2022-11-20,245,5
2022-11-21,245,5
2022-11-22,245,5
2022-11-23,245,5
2022-11-24,245,5
2022-11-25,312,8
2022-11-26,312,8
2022-11-27,312,8
2022-11-28,312,8
2022-11-29,312,8
2022-11-30,312,8
2022-12-01,312,8
2022-12-02,320,8
2022-12-03,320,8
2022-12-04,320,8
2022-12-05,320,8
2022-12-06,320,8
2022-12-07,320,8
2022-12-08,320,8
2022-12-09,320,8
2022-12-10,320,8
2022-12-11,320,8
2022-12-12,320,8
2022-12-13,320,8
2022-12-14,320,8
2022-12-15,320,8
2022-12-16,515,8
2022-12-17,515,8
2022-12-18,515,8
2022-12-19,515,8
2022-12-20,515,8
2022-12-21,515,8
2022-12-22,515,8
2022-12-23,517,16
2022-12-24,517,16
2022-12-25,517,16
2022-12-26,517,16
2022-12-27,517,16
2022-12-28,517,16
2022-12-29,517,16
2022-12-30,517,16
2022-12-31,517,16
2023-01-01,517,16
2023-01-02,517,16
2023-01-03,517,16
2023-01-04,517,16
2023-01-05,517,16
2023-01-06,540,16
2023-01-07,540,16
2023-01-08,540,16
2023-01-09,540,16
2023-01-10,540,16
2023-01-11,540,16
2023-01-12,540,16
2023-01-13,437,9
2023-01-14,437,9
2023-01-15,437,9
2023-01-16,437,9
2023-01-17,437,9
2023-01-18,437,9
2023-01-19,437,9
2023-01-20,305,5
2023-01-21,305,5
2023-01-22,305,5
2023-01-23,305,5
2023-01-24,305,5
2023-01-25,305,5
2023-01-26,305,5
2023-01-27,243,6
2023-01-28,243,6
2023-01-29,243,6
2023-01-30,243,6
2023-01-31,243,6
2023-02-01,243,6
2023-02-02,243,6
2023-02-03,226,9
2023-02-04,226,9
2023-02-05,226,9
2023-02-06,226,9
2023-02-07,226,9
2023-02-08,226,9
2023-02-09,226,9
2023-02-10,183,6
2023-02-11,183,6
2023-02-12,183,6
2023-02-13,183,6
2023-02-14,183,6
2023-02-15,183,6
2023-02-16,183,6
2023-02-17,212,5
2023-02-18,212,5
2023-02-19,212,5
2023-02-20,212,5
2023-02-21,212,5
2023-02-22,212,5
2023-02-23,212,5
2023-02-24,234,8